"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"JT:8411","Mizuho Financial Group, Inc","8411","03/12/2003","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3885780001","6591014","4,122,446,659,584","JPY","Analyze"
"JT:8031","Mitsui & Co., Ltd","8031","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3893600001","6597302","4,105,336,520,704","JPY","Analyze"
"JT:4901","FUJIFILM Holdings Corporation","4901","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3814000000","6356525","3,918,645,428,224","JPY","Analyze"
"JT:2914","Japan Tobacco Inc","2914","10/27/1994","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3726800000","6474535","3,876,714,446,848","JPY","Analyze"
"JT:5108","Bridgestone Corporation","5108","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3830800003","6132101","3,747,390,423,040","JPY","Analyze"
"JT:6178","Japan Post Holdings Co., Ltd","6178","11/04/2015","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3752900005","BYT8143","3,682,545,696,768","JPY","Analyze"
"JT:7182","JAPAN POST BANK Co.,Ltd","7182","11/04/2015","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3946750001","BYT8165","3,673,775,144,960","JPY","Analyze"
"JT:4503","Astellas Pharma Inc","4503","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3942400007","6985383","3,500,373,704,704","JPY","Analyze"
"JT:6503","Mitsubishi Electric Corporation","6503","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3902400005","6597045","3,398,418,300,928","JPY","Analyze"
"JT:4612","Nippon Paint Holdings Co., Ltd","4612","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Materials","JP3749400002","6640507","3,310,398,210,048","JPY","Analyze"
"JT:6752","Panasonic Corporation","6752","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3866800000","6572707","3,297,419,198,464","JPY","Analyze"
"JT:7309","Shimano Inc","7309","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3358000002","6804820","3,288,047,812,608","JPY","Analyze"
"JT:4452","Kao Corporation","4452","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3205800000","6483809","3,234,875,834,368","JPY","Analyze"
"JT:4911","Shiseido Company, Limited","4911","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3351600006","6805265","3,160,574,787,584","JPY","Analyze"
"JT:9022","Central Japan Railway Company","9022","10/08/1997","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3566800003","6183552","3,121,866,866,688","JPY","Analyze"
"JT:6869","Sysmex Corporation","6869","07/25/1996","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3351100007","6883807","3,120,594,157,568","JPY","Analyze"
"JT:9613","NTT DATA Corporation","9613","04/26/1995","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3165700000","6125639","3,102,329,798,656","JPY","Analyze"
"JT:7733","Olympus Corporation","7733","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3201200007","6658801","3,078,464,733,184","JPY","Analyze"
"JT:6326","Kubota Corporation","6326","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3266400005","6497509","3,036,659,056,640","JPY","Analyze"
"JT:8113","Unicharm Corporation","8113","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3951600000","6911485","3,013,450,137,600","JPY","Analyze"
"JT:6201","Toyota Industries Corporation","6201","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3634600005","6900546","3,005,465,493,504","JPY","Analyze"
"JT:7751","Canon Inc","7751","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3242800005","6172323","2,859,658,117,120","JPY","Analyze"
"JT:2502","Asahi Group Holdings, Ltd","2502","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3116000005","6054409","2,810,703,773,696","JPY","Analyze"
"JT:6723","Renesas Electronics Corporation","6723","07/24/2003","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3164720009","6635677","2,775,673,208,832","JPY","Analyze"
"JT:4307","Nomura Research Institute, Ltd","4307","12/17/2001","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3762800005","6390921","2,719,014,977,536","JPY","Analyze"
"JT:6301","Komatsu Ltd","6301","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3304200003","6496584","2,711,347,003,392","JPY","Analyze"
"JT:4578","Otsuka Holdings Co., Ltd","4578","12/15/2010","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3188220002","B5LTM93","2,652,565,405,696","JPY","Analyze"
"JT:8750","Dai-ichi Life Holdings, Inc","8750","04/01/2010","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3476480003","B601QS4","2,630,218,153,984","JPY","Analyze"
"JT:9020","East Japan Railway Company","9020","10/26/1993","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3783600004","6298542","2,624,835,813,376","JPY","Analyze"
"JT:8591","ORIX Corporation","8591","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3200450009","6661144","2,612,610,727,936","JPY","Analyze"
"JT:6971","Kyocera Corporation","6971","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3249600002","6499260","2,607,393,275,904","JPY","Analyze"
"JT:6920","Lasertec Corporation","6920","03/14/2012","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3979200007","6506267","2,599,828,848,640","JPY","Analyze"
"JT:8267","Aeon Co., Ltd","8267","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3388200002","6480048","2,570,487,332,864","JPY","Analyze"
"JT:1925","Daiwa House Industry Co.,Ltd","1925","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Real Estate","JP3505000004","6251363","2,548,911,308,800","JPY","Analyze"
"JT:7269","Suzuki Motor Corporation","7269","01/05/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3397200001","6865504","2,521,627,361,280","JPY","Analyze"
"JT:9843","Nitori Holdings Co., Ltd","9843","10/28/2002","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3756100008","6644800","2,508,347,146,240","JPY","Analyze"
"JT:4523","Eisai Co., Ltd","4523","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3160400002","6307200","2,422,327,476,224","JPY","Analyze"
"JT:8801","Mitsui Fudosan Co., Ltd","8801","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Real Estate","JP3893200000","6597603","2,400,524,697,600","JPY","Analyze"
"JT:6645","OMRON Corporation","6645","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3197800000","6659428","2,359,427,596,288","JPY","Analyze"
"JT:8802","Mitsubishi Estate Co., Ltd","8802","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Real Estate","JP3899600005","6596729","2,351,813,885,952","JPY","Analyze"
"JT:4507","Shionogi & Co., Ltd","4507","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3347200002","6804682","2,262,185,803,776","JPY","Analyze"
"JT:7201","Nissan Motor Co., Ltd","7201","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3672400003","6642860","2,241,582,333,952","JPY","Analyze"
"JT:6857","Advantest Corporation","6857","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3122400009","6870490","2,221,478,772,736","JPY","Analyze"
"JT:4151","Kyowa Hakko Kirin Co., Ltd","4151","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3256000005","6499550","2,202,421,690,368","JPY","Analyze"
"JT:9143","Sg Holdings Ltd","9143","12/13/2017","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3162770006","BFFY885","2,172,469,641,216","JPY","Analyze"
"JT:8725","MS&AD Insurance Group Holdings, Inc","8725","04/01/2008","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3890310000","B2Q4CS1","2,150,621,904,896","JPY","Analyze"
"JT:4684","OBIC Co., Ltd","4684","12/17/1998","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3173400007","6136749","2,114,083,487,744","JPY","Analyze"
"JT:6502","Toshiba Corporation","6502","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3592200004","6897217","2,056,211,398,656","JPY","Analyze"
"JT:8053","Sumitomo Corporation","8053","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3404600003","6858946","2,035,777,536,000","JPY","Analyze"
"JT:5401","Nippon Steel & Sumitomo Metal Corporation","5401","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Materials","JP3381000003","6642569","1,982,389,813,248","JPY","Analyze"
"JT:7832","BANDAI NAMCO Holdings Inc","7832","09/29/2005","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3778630008","B0JDQD4","1,964,974,931,968","JPY","Analyze"
"JT:2802","Ajinomoto Co., Inc","2802","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3119600009","6010906","1,933,832,224,768","JPY","Analyze"
"JT:6586","Makita Corporation","6586","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3862400003","6555805","1,900,689,096,704","JPY","Analyze"
"JT:8830","Sumitomo Realty & Development Co., Ltd","8830","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Real Estate","JP3409000001","6858902","1,866,849,714,176","JPY","Analyze"
"JT:9735","SECOM CO., LTD","9735","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3421800008","6791591","1,856,981,696,512","JPY","Analyze"
"JT:2801","Kikkoman Corporation","2801","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3240400006","6490809","1,826,681,782,272","JPY","Analyze"
"JT:8630","Sompo Holdings, Inc","8630","04/01/2010","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3165000005","B62G7K6","1,804,908,756,992","JPY","Analyze"
"JT:8604","Nomura Holdings, Inc","8604","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3762600009","6643108","1,759,690,883,072","JPY","Analyze"
"JT:3407","Asahi Kasei Corporation","3407","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Materials","JP3111200006","6054603","1,755,225,391,104","JPY","Analyze"
"JT:9101","Nippon Yusen Kabushiki Kaisha","9101","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3753000003","6643960","1,747,700,940,800","JPY","Analyze"
"JT:6701","NEC Corporation","6701","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3733000008","6640400","1,741,230,178,304","JPY","Analyze"
"JT:2503","Kirin Holdings Company, Limited","2503","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3258000003","6493745","1,738,504,011,776","JPY","Analyze"
"JT:8015","Toyota Tsusho Corporation","8015","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3635000007","6900580","1,724,015,968,256","JPY","Analyze"
"JT:4755","Rakuten, Inc","4755","04/20/2000","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3967200001","6229597","1,690,304,118,784","JPY","Analyze"
"JT:8002","Marubeni Corporation","8002","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3877600001","6569464","1,657,069,371,392","JPY","Analyze"
"JT:3659","NEXON Co., Ltd","3659","12/14/2011","Global Equity","Common stocks","Developed markets ex-US","Communication Services","JP3758190007","B63QM77","1,637,882,527,744","JPY","Analyze"
"JT:1928","Sekisui House, Ltd","1928","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3420600003","6793906","1,636,695,539,712","JPY","Analyze"
"JT:6762","TDK Corporation","6762","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3538800008","6869302","1,609,354,969,088","JPY","Analyze"
"JT:7270","Subaru Corporation","7270","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3814800003","6356406","1,606,594,723,840","JPY","Analyze"
"JT:7701","Shimadzu Corporation","7701","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3357200009","6804369","1,605,815,238,656","JPY","Analyze"
"JT:6506","YASKAWA Electric Corporation","6506","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3932000007","6986041","1,604,996,038,656","JPY","Analyze"
"JT:8697","Japan Exchange Group, Inc","8697","01/04/2013","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3183200009","6743882","1,582,242,201,600","JPY","Analyze"
"JT:2587","Suntory Beverage & Food Limited","2587","07/03/2013","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3336560002","BBD7Q84","1,511,009,943,552","JPY","Analyze"
"JT:5020","JXTG Holdings, Inc","5020","04/01/2010","Global Equity","Common stocks","Developed markets ex-US","Energy","JP3386450005","B627LW9","1,495,846,486,016","JPY","Analyze"
"JT:4188","Mitsubishi Chemical Holdings Corporation","4188","10/03/2005","Global Equity","Common stocks","Developed markets ex-US","Materials","JP3897700005","B0JQTJ0","1,482,208,182,272","JPY","Analyze"
"JT:6383","Daifuku Co., Ltd","6383","02/22/2018","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3497400006","6250025","1,452,849,233,920","JPY","Analyze"
"JT:8309","Sumitomo Mitsui Trust Holdings, Inc","8309","01/31/2002","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3892100003","6431897","1,446,496,567,296","JPY","Analyze"
"JT:9962","MISUMI Group Inc","9962","01/19/1994","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3885400006","6595179","1,365,364,834,304","JPY","Analyze"
"JT:4528","Ono Pharmaceutical Co., Ltd","4528","01/05/1984","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3197600004","6660107","1,349,430,411,264","JPY","Analyze"
"JT:3938","LINE Corporation","3938","07/15/2016","Global Equity","Common stocks","Developed markets ex-US","Communication Services","JP3966750006","BZB1Y59","1,303,880,663,040","JPY","Analyze"
"JT:3092","ZOZO, Inc","3092","12/11/2007","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3399310006","B292RC1","1,291,166,941,184","JPY","Analyze"
"JT:7532","Don Quijote Holdings Co., Ltd","7532","06/19/1998","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3639650005","6269861","1,282,481,848,320","JPY","Analyze"
"JT:7951","Yamaha Corporation","7951","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3942600002","6642387","1,282,057,437,184","JPY","Analyze"
"JT:3064","MonotaRO Co., Ltd","3064","12/06/2006","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3922950005","B1GHR88","1,275,365,163,008","JPY","Analyze"
"JT:5201","AGC Inc","5201","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3112000009","6055208","1,274,826,194,944","JPY","Analyze"
"JT:6988","Nitto Denko Corporation","6988","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Materials","JP3684000007","6641801","1,266,588,975,104","JPY","Analyze"
"JT:4091","Taiyo Nippon Sanso Corporation","4091","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Materials","JP3711600001","6640541","1,259,305,435,136","JPY","Analyze"
"JT:9202","ANA Holdings Inc","9202","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3429800000","6014908","1,243,119,222,784","JPY","Analyze"
"JT:6146","Disco Corporation","6146","10/31/1989","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3548600000","6270948","1,235,072,188,416","JPY","Analyze"
"JT:2127","Nihon M&A Center Inc","2127","10/10/2006","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3689050007","B1DN466","1,226,347,905,024","JPY","Analyze"
"JT:4716","Oracle Corporation Japan","4716","02/05/1999","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3689500001","6141680","1,224,091,107,328","JPY","Analyze"
"JT:6479","MinebeaMitsumi Inc","6479","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3906000009","6642406","1,222,429,638,656","JPY","Analyze"
"JT:8951","Nippon Building Fund Incorporation","8951","09/10/2001","Global Equity","REITs","Developed markets ex-US","Real Estate","JP3027670003","6396800","1,194,757,455,872","JPY","Analyze"
"JT:5802","Sumitomo Electric Industries, Ltd","5802","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3407400005","6858708","1,192,450,326,528","JPY","Analyze"
"JT:4324","Dentsu Inc","4324","11/30/2001","Global Equity","Common stocks","Developed markets ex-US","Communication Services","JP3551520004","6416281","1,189,604,098,048","JPY","Analyze"
"JT:3769","GMO Payment Gateway, Inc","3769","04/06/2005","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3385890003","B06CMQ9","1,186,939,797,504","JPY","Analyze"
"JT:3402","Toray Industries, Inc","3402","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Materials","JP3621000003","6897143","1,170,569,166,848","JPY","Analyze"
"JT:5713","Sumitomo Metal Mining Co., Ltd","5713","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Materials","JP3402600005","6858849","1,168,064,380,928","JPY","Analyze"
"JT:8028","FamilyMart UNY Holdings Co., Ltd","8028","12/08/1987","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3802600001","6331276","1,157,469,044,736","JPY","Analyze"
"JT:1605","Inpex Corporation","1605","04/03/2006","Global Equity","Common stocks","Developed markets ex-US","Energy","JP3294460005","B10RB15","1,155,018,129,408","JPY","Analyze"
"JT:4768","Otsuka Corporation","4768","07/14/2000","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3188200004","6267058","1,143,300,030,464","JPY","Analyze"
"JT:9104","Mitsui O.S.K. Lines, Ltd","9104","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3362700001","6597584","1,136,399,482,880","JPY","Analyze"
"JT:7259","Aisin Seiki Co., Ltd","7259","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3102000001","6010702","1,136,009,936,896","JPY","Analyze"
"JT:4751","CyberAgent, Inc","4751","03/24/2000","Global Equity","Common stocks","Developed markets ex-US","Communication Services","JP3311400000","6220501","1,130,618,159,104","JPY","Analyze"
"JT:8729","Sony Financial Holdings Inc","8729","10/11/2007","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3435350008","B249SN5","1,129,918,365,696","JPY","Analyze"
"JT:4508","Mitsubishi Tanabe Pharma Corporation","4508","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Health Care","JP3469000008","6870984","1,124,920,590,336","JPY","Analyze"
"JT:6963","ROHM Co., Ltd","6963","01/25/1989","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3982800009","6747204","1,114,824,900,608","JPY","Analyze"
"JT:6965","Hamamatsu Photonics K.K","6965","03/01/1988","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3771800004","6405870","1,113,213,370,368","JPY","Analyze"
"JT:7276","Koito Manufacturing Co., Ltd","7276","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3284600008","6496324","1,112,293,113,856","JPY","Analyze"
"JT:9064","Yamato Holdings Co., Ltd","9064","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3940000007","6985565","1,100,834,144,256","JPY","Analyze"
"JT:8036","Hitachi High-Technologies Corporation","8036","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Information Technology","JP3678800008","6642804","1,098,832,740,352","JPY","Analyze"
"JT:7202","Isuzu Motors Limited","7202","01/04/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3137200006","6467104","1,093,060,984,832","JPY","Analyze"
"JT:7272","Yamaha Motor Co., Ltd","7272","01/05/1984","Global Equity","Common stocks","Developed markets ex-US","Consumer Discretionary","JP3942800008","6985264","1,085,284,417,536","JPY","Analyze"
"JT:8308","Resona Holdings, Inc","8308","12/11/2001","Global Equity","Common stocks","Developed markets ex-US","Financials","JP3500610005","6421553","1,083,850,752,000","JPY","Analyze"
"JT:2269","Meiji Holdings Co., Ltd","2269","04/01/2009","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","JP3918000005","B60DQV3","1,075,183,681,536","JPY","Analyze"
"JT:5411","JFE Holdings, Inc","5411","09/26/2002","Global Equity","Common stocks","Developed markets ex-US","Materials","JP3386030005","6543792","1,056,002,539,520","JPY","Analyze"
"JT:9201","Japan Airlines Co., Ltd","9201","09/19/2012","Global Equity","Common stocks","Developed markets ex-US","Industrials","JP3705200008","B8BRV46","1,045,165,309,952","JPY","Analyze"
"JT:3283","Nippon Prologis REIT, Inc","3283","02/14/2013","Global Equity","REITs","Developed markets ex-US","Real Estate","JP3047550003","B98BC67","1,037,903,724,544","JPY","Analyze"
